symptom,question
胸胁胀闷,您是否感到胸部和肋骨间有胀满不适的感觉？
胸胁胀闷,您有没有觉得胸胁部位闷胀不舒服？
胸胁胀闷,胸胁处是否经常有胀闷感？
胸胁胀闷,您是否经历过胸部与胁肋胀闷的情况？
胸胁胀闷,胸胁部位是否时有胀满不畅的感受？
胸背痛,您是否感到胸部和背部有疼痛感？
胸背痛,有没有觉得胸背部位不舒服？
胸背痛,胸背是否有疼痛的感觉？
胸背痛,您是否经历过胸背部疼痛的情况？
胸背痛,您的胸背部有没有出现疼痛的症状？
胸闷不舒,您是否感觉胸部有憋闷感，呼吸不畅？
胸闷不舒,您有没有觉得胸口像有东西压着，不太舒服？
胸闷不舒,您是否时常感到胸部气机不畅，有憋闷之感？
胸闷不舒,您是否觉得呼吸时胸部有阻塞感，不够顺畅？
胸闷不舒,您近期是否有胸部满闷，气息不顺的情况？
胸骨后梗阻感,您是否感觉胸口后方有东西堵着？
胸骨后梗阻感,您有没有觉得胸骨后面像有东西卡住一样？
胸骨后梗阻感,胸骨后是否有梗阻不适的感觉？
胸骨后梗阻感,您是否感觉胸骨后方不畅通？
胸骨后梗阻感,胸口后面有没有一种堵塞感？
胸骨后灼痛,您是否感到胸口后面有烧灼般的疼痛感？
胸骨后灼痛,胸骨后方有没有出现过灼痛感？
胸骨后灼痛,您有没有觉得胸骨后面火辣辣地疼？
胸骨后灼痛,胸口正后方是否会有灼烧一样的痛感？
胸骨后灼痛,是否感觉胸骨背面有灼痛的不适？
胸骨后疼痛,您是否感到胸口正中后面有疼痛感？
胸骨后疼痛,胸骨后方有没有出现过疼痛的情况？
胸骨后疼痛,您有没有觉得胸骨背后隐隐作痛？
胸骨后疼痛,胸口中央靠后的位置，是否会疼痛？
胸骨后疼痛,胸骨后部位是否时不时会疼？
胸骨后疼痛不适,您是否觉得胸口正中后方疼痛的感觉会给您带来不适？
胸骨后疼痛不适,胸骨后有没有出现过疼痛让您感到不舒服的情况？
胸骨后疼痛不适,您是否经历过胸骨后部位疼痛带来的不适？
胸骨后疼痛不适,有没有觉得胸骨后面疼痛时常让您感到不舒服？
胸骨后疼痛不适,胸骨后疼痛是否时常让您感到不适？
脘腹疼痛,您是否感到胃部或腹部有疼痛感？
脘腹疼痛,胃部连同腹部一带，是否有疼痛的感觉？
脘腹疼痛,是否感觉胃部和腹部有疼痛的情况？
脘腹痞满,您是否感到胃部或腹部有胀满不适的感觉？
脘腹痞满,您是否觉得肚子里有东西堵着，不太舒服？
脘腹痞满,您的胃或腹部有没有觉得胀胀的，好像消化不了？
脘腹痞满,是否感觉胃腹部位有些堵塞，不够畅快？
脘腹痞满,您是否觉得胃腹部饱胀，有点顶的慌？
腹中拘急冷痛,您是否感到腹部有紧缩感且疼痛，同时感觉寒冷？
腹中拘急冷痛,腹部是否凉凉的还伴随着疼痛？
腹中拘急冷痛,您是否觉得肚子里有紧绷感又冷痛？
腹中拘急冷痛,有没有感觉腹部既冷又痛，还紧紧的不舒服？
腹中拘急冷痛,腹部是否存在冷痛并且感觉拘紧不适的情况？
腹中拘急冷痛，得温痛减,您是否感觉腹部有紧缩冷痛感时在得到温暖后疼痛会减轻？
腹中拘急冷痛，得温痛减,在腹部拘紧冷痛时，热敷或温暖环境能缓解疼痛？
腹中拘急冷痛，得温痛减,您有没有遇到过肚子感觉又紧又冷地疼，但暖和起来就好些的情况？
腹中拘急冷痛，得温痛减,是否觉得在腹部紧缩冷痛的时候，得温后这种痛感会减轻？
腹中拘急冷痛，得温痛减,腹部是否会在冷痛并紧绷的时候因获得温暖后有所缓解？
腹中隐痛,您是否感到肚子里有隐隐作痛？
腹中隐痛,腹部有没有时不时出现轻微的疼痛感？
腹中隐痛,您是否觉得肚子偶尔会隐隐作痛？
腹中隐痛,有没有感觉腹部偶尔会不舒服，隐隐作痛？
腹中隐痛,有没有觉得肚子周围不舒服，比如疼痛？
腹中隐痛,肚子里是不是有时会有一种隐隐的疼痛感？
腹中隐痛喜揉喜按,您是否感觉腹痛揉按后会舒服些？
腹中隐痛喜揉喜按,腹部隐隐作痛时，揉一揉或按一按会不会让您感觉好点？
腹中隐痛喜揉喜按,您有没有觉得肚子里隐隐作痛时用手揉按能够得到缓解？
腹中隐痛喜揉喜按,腹部出现隐痛时，是否发现揉按能够减轻不适感？
腹中隐痛喜揉喜按,是否感觉腹部有轻微疼痛时在揉按后会得到缓解？
腹泻,您是否有持续的腹泻症状？
腹痛,您是否感到小腹疼痛？
腹痛,有没有觉得腹部不舒服，隐隐作痛？
腹痛,腹部是否有疼痛感？
腹痛,您是否小腹不适？
腹痛,您小腹有疼痛感吗？
腹痛,您是否经常感到腹部疼痛或不适？
腹痛,您是否出现过腹痛或腹胀？
腹痛即泻,您是否有过肚子一疼就立刻要拉肚子的情况？
腹痛即泻,您是否经常感到腹部疼痛随后就腹泻？
腹痛即泻,腹痛时，您是否会紧接着出现泄泻的症状？
腹痛即泻,您有没有遇到过，肚子疼后不久就拉肚子的情况？
腹痛即泻,腹痛是否常常伴随着立即需要排便？
腹痛即泻泻后痛减,您是否有过肚子一疼就拉肚子，随后疼痛就减轻的情况？
腹痛即泻泻后痛减,您是否经历过腹部疼痛随即排便后疼痛缓解的症状？
腹痛即泻泻后痛减,您是否常常感到腹痛在排便后有所减轻的感觉？
腹痛即泻泻后痛减,您是否有时会突然腹痛，然后腹泻，腹泻之后腹痛就有所好转？
腹痛即泻泻后痛减,您有没有遇到过肚子疼，上厕所后疼痛就减轻的状况？
腹痛发作与情绪变化有关,腹痛时，是否常伴随情绪波动出现？
腹痛发作与情绪变化有关,情绪变化时，您是否会感到腹部疼痛？
腹痛发作与情绪变化有关,腹痛的发作，是否与心情好坏有关联？
腹痛发作与情绪变化有关,心情起伏时，有没有感觉到腹痛的情况？
腹痛发作与情绪变化有关,是否发现腹痛往往在心情不好的时候发生？
腹胀,您是否感觉腹部胀满？
腹胀,腹部有没有觉得胀气或者撑胀？
腹胀,您是否觉得肚子里气多，有点胀？
腹胀,您最近有没有感觉腹部胀胀的？
腹胀,您的腹部是否有胀满感？
腹胀,您是否经常感到腹部胀满不适？
腹胀,您是否有经常感到腹部胀气或不适？
腹部胀满不适,您是否感觉肚子里有胀气，不舒服？
腹部胀满不适,腹部有没有觉得胀胀的，不太舒坦？
腹部胀满不适,您是否觉得肚子饱胀不适？
腹部胀满不适,有没有感觉腹部胀满，不太舒服？
腹部胀满不适,腹部是否常有胀满感，让您感到不适？
身体痛,您是否感到身体某个部位有疼痛或不适？
身体虚寒,您近期身体有没有出现一些虚寒类的异常表现，比如排便异常、怕冷、面色和肢体状态改变？
身体虚寒,您是否感觉到身体整体状态不佳，比如排便不畅、畏寒、腰膝不适的情况？
身体虚寒,最近，您有没有察觉到身体呈现出虚寒相关的异样，例如大便、怕冷、面色与肢体感受方面？
身体虚寒,您是否发现自己存在一系列疑似身体虚寒的症状，包含排便、畏寒、腰膝及面色方面的问题？
身体虚寒,您近期身体有没有出现类似阳气亏虚导致的异常，像排便困难、怕冷、面色与腰膝状态的变化？
身体虚寒,您最近是否感觉身体出现一些阴虚内热相关的不适，比如大便干结、口容易干、睡眠和身体状态有变化？
身体虚寒,您有没有察觉到自己有类似阴虚症状，像是大便干结、手脚心发热、心烦睡眠差且身体逐渐消瘦？
身体虚寒,近来，您是否觉得身体呈现出阴虚的异常表现，包含大便干结、口干想喝水、形体和精神状态改变？
身体虚寒,您是否发现自己存在一系列疑似阴虚导致的问题，如大便干结难排、口干、手足心热、睡眠不佳及消瘦？
身体虚寒,您近期身体有没有出现类似阴虚特征的状况，例如大便干结、口干、心烦少眠、形体逐渐消瘦？
身倦乏力,您是否经常感到身体疲倦，力不从心？
身倦乏力,您是否有身体乏力，总是想休息的感觉？
身倦乏力,是否觉得浑身无力，精神不振？
身倦乏力,您近来是否容易感到疲惫，全身使不上劲？
身倦乏力,是否感觉身体倦怠，做什么都提不起力气？
面色少华,您是否觉得自己面色不够有光泽？
面色少华,您的面色是否偏于苍白或黯淡？
面色少华,观察您的面色，是否感觉缺乏健康？
面色少华,您最近是否感觉面色不如以往那样有气血？
面色少华,您的面色是否不太红润？
面色少华，口唇色淡,您是否面色没有气血，且口唇颜色偏淡？
面色少华，口唇色淡,您是否有面色苍白无光泽，以及嘴唇颜色较浅的情况？
面色少华，口唇色淡,您觉得面色是否缺乏光泽，口唇呈现淡色？
面色少华，口唇色淡,您面色是否缺乏光泽，口唇色淡？
面色少华，口唇色淡,有没有发现患者面色稍显苍白，口唇的颜色也比较淡？
面赤,您是否感觉面色过于红润？
面赤,您的脸色是否过于红润？
面赤,有没有发现自己脸颊泛红？
面赤,您是否觉得面部较热并伴随发红？
面赤,面部是否有明显的红晕？
食后饱胀,吃完饭后，您是否经常感觉肚子胀胀的？
食后饱胀,您饭后有没有觉得肚子很饱，甚至有点胀？
食后饱胀,饭后，您是否常感到胃部饱满不适？
食后饱胀,吃完饭后，您是否会觉得肚子像有东西顶着一样胀？
食后饱胀,您在饭后是否经常出现胃部胀满的感觉？
食少,您是否感觉近期食欲不佳，吃得比平时少？
食少,有没有觉得胃口不好，食物摄入量减少了？
食少,是否发现自己每餐吃得不多，食欲有所下降？
食少,近期是不是总感觉吃不下太多东西，食量变小了？
食少,您是否觉得饮食减少，没有以前吃得那么多了？
食欲不振,最近是否感觉吃东西没有胃口？
食欲不振,是否经常觉得不想吃东西？
食欲不振,吃饭时是否感觉食欲不佳？
食欲不振,有没有觉得食物对自己没有吸引力？
食欲不振,是否发现自己比平时吃得少？
食用不洁,您最近是否食用了不洁食物或饮料？
食用不洁,您最近是否食用了不洁食物或水？
餐后反酸,吃完饭后，您是否会有酸水往上涌的感觉？
餐后反酸,餐后，您是否经常感觉胃里的酸液反流到喉咙或口腔？
餐后反酸,您在饭后是否出现过反酸的不适感？
餐后反酸,吃完饭，您有没有觉得胃酸往上翻的情况？
餐后反酸,餐后您是否有时会感到嘴巴里有酸味？
饥而不欲食,是否感觉饥饿却不想进食？
饥而不欲食,有没有觉得饿但吃不下东西的情况？
饥而不欲食,饿的时候是否感觉没有食欲？
饥而不欲食,是否遇到过虽然饿却不愿吃东西的状况？
饥而不欲食,是否感觉肚子饿，但就是不想吃？
饮食习惯规律,您的饮食习惯是否规律，是否有暴饮暴食的情况？
饱胀,您是否感到腹部有胀满不适的感觉？
饱胀,您是否觉得肚子里好像装满了东西，有点撑？
饱胀,有没有感觉吃了东西后，肚子一直胀胀的？
饱胀,腹部是不是有一种饱胀感，让您觉得不太舒服？
饱胀,您是否经常感到肚子胀得慌，像是吃多了似的？
高血压或心脏病史,您是否有高血压或心脏病史？
